id,cik,filing,docs_link,filing_desc,effective,file_num,file_num_raw,filing_date,update_ts
267304,0001419703,15-15D,/Archives/edgar/data/1419703/000105640408000346/0001056404-08-000346-index.htm,"Suspension of duty to report [Section 13 and 15(d)]
Acc-no: 0001056404-08-000346 (34 Act)  Size: 4 KB            ",2008-01-25,333-140945-10,"333-140945-10
08549611         ",NULL,"2021-05-23 01:55:53"
180018,0001283557,ABS-15G,/Archives/edgar/data/1283557/000090514819000362/0000905148-19-000362-index.htm,"Asset-backed securitizer report pursuant to Section 15G, item 1.02

Acc-no: 0000905148-19-000362 (DF Act)  Size: 19 KB            ",2019-02-14,025-01140,"025-01140
19607161         ",NULL,"2021-05-23 01:06:30"
211104,0001334709,8-K,/Archives/edgar/data/1334709/000105640406000344/0001056404-06-000344-index.htm,"Current report, items 8.01 and 9.01

Acc-no: 0001056404-06-000344 (34 Act)  Size: 140 KB            ",2006-01-06,333-125422-04,"333-125422-04
06514125         ",NULL,"2021-05-23 01:25:58"
299546,0001573600,UPLOAD,/Archives/edgar/data/1573600/000000000016081619/0000000000-16-081619-index.htm,"[Cover]
SEC-generated letter
Acc-no: 0000000000-16-081619 Size: 160 KB            ",2016-06-22,NULL,,NULL,"2021-05-23 02:05:18"
162241,0001257818,8-K,/Archives/edgar/data/1257818/000105640404000086/0001056404-04-000086-index.htm,"Current report, items 5 and 7

Acc-no: 0001056404-04-000086 Size: 81 KB            ",2004-01-08,333-102489-18,"333-102489-18
04514544         ",NULL,"2021-05-23 00:58:56"
147204,0001206211,8-K,/Archives/edgar/data/1206211/000107178703000783/0001071787-03-000783-index.htm,"Current report, item 7

Acc-no: 0001071787-03-000783 Size: 18 KB            ",2003-07-02,333-53933-05,"333-53933-05
03770173         ",NULL,"2021-05-23 00:52:21"
210566,0001333371,8-K,/Archives/edgar/data/1333371/000088237707002381/0000882377-07-002381-index.htm,"Current report, items 1.01 and 9.01

Acc-no: 0000882377-07-002381 (34 Act)  Size: 64 KB            ",2007-10-23,333-120274-29,"333-120274-29
071185350         ",NULL,"2021-05-23 01:25:28"
358607,0001757018,ABS-EE,/Archives/edgar/data/1757018/000105640419001499/0001056404-19-001499-index.htm,"Asset-Backed Electronic Exhibits
Acc-no: 0001056404-19-001499 (34 Act)  Size: 561 KB            ",2019-02-28,333-226943-01,"333-226943-01
19642558         ",NULL,"2021-05-23 02:22:30"
228792,0001356879,424B3,/Archives/edgar/data/1356879/000119312506087590/0001193125-06-087590-index.htm,"Prospectus [Rule 424(b)(3)]
Acc-no: 0001193125-06-087590 (33 Act)  Size: 364 KB            ",2006-04-25,333-128722-02,"333-128722-02
06777124         ",NULL,"2021-05-23 01:36:51"
347361,0001716263,10-D,/Archives/edgar/data/1716263/000105640419001110/0001056404-19-001110-index.htm,"Asset-Backed Issuer Distribution Report [Section 13 or 15(d) of the Securities Exchange Act of 1934]
Acc-no: 0001056404-19-001110 (34 Act)  Size: 2 MB            ",2019-02-01,333-207340-04,"333-207340-04
19559303         ",NULL,"2021-05-23 02:18:24"
